filename	read_id	run_id	channel	start_time	duration	num_events	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_302_ch_55_strand.fast5	a56233e2-4cb3-4d1e-ae41-78e641325f0e	8e5ee7889b5cadf6ba363925d445f102fe359c78	55	154.05525	12.813	10093	0.0	10093	12.813	10093	6130	11.045	-0.0012
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_492_ch_218_strand.fast5	c4899de4-1d33-471a-8298-3472a0a1a60c	8e5ee7889b5cadf6ba363925d445f102fe359c78	218	163.183	3.918	3065	0.07375	3065	3.84425	3065	1815	12.403	-0.0014
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_343_ch_47_strand.fast5	48fabc98-17e9-4c99-98c6-0b57bed987e4	8e5ee7889b5cadf6ba363925d445f102fe359c78	47	165.978	1.222	938	0.0345	938	1.1875	938	575	12.526	-0.0009
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_219_ch_61_strand.fast5	9c1fc5e4-9aa5-410d-94d5-c634249bd192	8e5ee7889b5cadf6ba363925d445f102fe359c78	61	151.847	14.92225	11685	0.07	11685	14.85225	11685	6444	11.215	-0.0013
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_455_ch_187_strand.fast5	a11bc30b-48b2-4987-a994-e38863dddd51	8e5ee7889b5cadf6ba363925d445f102fe359c78	187	164.65625	2.2895	1720	0.133	1720	2.1565	1720	1047	12.261	-0.0017
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_523_ch_240_strand.fast5	2fa58342-4fc9-45d2-8afa-03b549653aee	8e5ee7889b5cadf6ba363925d445f102fe359c78	240	162.38175	3.35875	2744	0.0	2744	3.35875	2744	135	4.654	-0.0018
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_503_ch_94_strand.fast5	8405526d-76e5-4c72-9dc0-b3351fd6046a	8e5ee7889b5cadf6ba363925d445f102fe359c78	94	135.588	31.303	24871	0.044	24871	31.259	24871	14425	10.372	-0.0012
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_455_ch_79_strand.fast5	7b969333-5065-4dfd-bee6-aaeff35ffc5f	8e5ee7889b5cadf6ba363925d445f102fe359c78	79	163.54625	4.72125	3688	0.106	3688	4.61525	3688	2318	10.156	-0.0013
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_308_ch_193_strand.fast5	b19a6da6-6b03-4c06-a7b8-8ec294ba7c70	8e5ee7889b5cadf6ba363925d445f102fe359c78	193	161.38725	6.20875	4828	0.01725	4828	6.1915	4828	2807	12.531	-0.0011
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_326_ch_232_strand.fast5	0904c3d7-bedf-4c6d-a9d1-436708bda0d8	8e5ee7889b5cadf6ba363925d445f102fe359c78	232	149.346	17.43425	13811	0.01775	13811	17.4165	13811	8686	11.651	-0.0013
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_170_ch_105_strand.fast5	4037db9f-f15f-45a4-98b5-e082b18361cf	8e5ee7889b5cadf6ba363925d445f102fe359c78	105	163.0405	4.7635	3710	0.0	3710	4.7635	3710	2152	10.929	-0.0008
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_582_ch_308_strand.fast5	a5fea571-ad99-41b8-b423-f5dfbfbe4de7	8e5ee7889b5cadf6ba363925d445f102fe359c78	308	156.1045	11.79575	9115	0.06275	9115	11.733	9115	5304	13.219	-0.0013
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_404_ch_248_strand.fast5	bed906e5-4162-4fed-83bb-ecf6acfa89b3	8e5ee7889b5cadf6ba363925d445f102fe359c78	248	146.1995	20.8465	16414	0.01525	16414	20.83125	16414	10031	10.542	-0.0012
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_251_ch_113_strand.fast5	588bb994-54eb-436c-80f1-96bb85e369ea	8e5ee7889b5cadf6ba363925d445f102fe359c78	113	139.8485	27.8135	21677	0.0	21677	27.8135	21677	12861	11.321	-0.0011
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_361_ch_102_strand.fast5	7721cc0e-f150-4031-9525-f340889ebae2	8e5ee7889b5cadf6ba363925d445f102fe359c78	102	144.59925	23.469	18313	0.0805	18313	23.3885	18313	10774	12.251	-0.0012
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_325_ch_477_strand.fast5	a98cfd87-40a4-48ec-9a5f-fb34130f9894	8e5ee7889b5cadf6ba363925d445f102fe359c78	477	162.886	4.59875	3704	0.02175	3704	4.577	3704	2337	9.366	-0.001
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_354_ch_137_strand.fast5	f9e0adf9-020a-4ce4-a0b7-825d3210173a	8e5ee7889b5cadf6ba363925d445f102fe359c78	137	152.53825	15.006	11664	0.0725	11664	14.9335	11664	6959	12.343	-0.0012
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_449_ch_345_strand.fast5	20b25803-b16d-4f37-af28-f15f5f21320f	8e5ee7889b5cadf6ba363925d445f102fe359c78	345	142.24675	25.2705	19793	0.03775	19793	25.23275	19793	11711	11.706	-0.0012
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_499_ch_486_strand.fast5	e5963f6c-2f7e-43ea-a479-24ec05aa146b	8e5ee7889b5cadf6ba363925d445f102fe359c78	486	166.74775	1.192	917	0.0	917	1.192	917	490	11.282	-0.0012
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_322_ch_135_strand.fast5	791a70ff-adaa-4206-9636-c7a8b378ddb0	8e5ee7889b5cadf6ba363925d445f102fe359c78	135	162.531	6.19925	4743	0.11425	4743	6.085	4743	3054	11.74	-0.0012
